item_identifier,outlet_identifier,item_fat_content,item_mrp,item_outlet_sales,item_visibility,item_weight,item_mrp_per_weight,item_mrp_per_visibility,outlet_age,std_of_item_mrp_wrt_item_identifier,avg_item_mrp_wrt_item_type,std_of_item_mrp_wrt_item_type,avg_item_mrp_wrt_outlet_identifier,std_of_item_mrp_wrt_outlet_identifier,avg_item_mrp_wrt_outlet_location_type,std_of_item_mrp_wrt_outlet_location_type,avg_item_mrp_wrt_outlet_size,std_of_item_mrp_wrt_outlet_size,avg_item_mrp_wrt_outlet_type,no_of_outlets_allocated_for_each_item,no_of_items_sold_wrt_each_item_type_in_each_outlet,no_of_items_sold_wrt_each_item_type_in_each_outlet_type,no_of_items_sold_wrt_each_item_type_for_each_outlet_size,no_of_items_sold_wrt_each_fat_content_in_each_outlet_type,no_of_items_sold_wrt_each_fat_content_for_each_outlet_size,no_of_items_sold_wrt_each_fat_content_for_each_item_type,no_of_outlets_allocated_wrt_outlet_size_for_each_outlet_type,item_baking_goods,item_breads,item_breakfast,item_canned,item_dairy,item_frozen_foods,item_fruits_and_vegetables,item_hard_drinks,item_health_and_hygiene,item_household,item_meat,item_seafood,item_snack_foods,item_soft_drinks,item_starchy_foods
FDT19,OUT049,1,172.908,6231.888000000001,0.14526636,7.59,22.781027667984187,1190.2824576866935,14,0.9496198069637146,144.30423666169895,59.22192266193132,141.1631992258065,62.144593618535815,140.93947999999986,61.99716309565804,141.05877512352268,62.06244154608586,141.012932623198,10,219,1311,658,3281,1645,927,1550,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NCW42,OUT017,0,220.7456,4420.912,0.058799705,18.2,12.12887912087912,3754.195705573693,6,0.6411794687223908,148.7365007751935,62.54545185638939,140.99893065456908,62.295512815056185,140.98787248437867,62.22464695997304,140.94968104052046,62.09842783956534,141.012932623198,10,169,1013,874,6013,5171,1548,6191,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FDD02,OUT045,0,118.4124,3199.8348,0.050392993,16.6,7.133277108433735,2349.7790655141284,11,1.0123679612121683,138.62093597785957,60.16233501731816,140.85734056847554,62.26267620014392,140.98787248437867,62.22464695997304,140.94968104052046,62.09842783956534,141.012932623198,10,120,713,608,6013,5171,549,6191,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FDC39,OUT017,0,205.7296,4570.0512,0.11940130175,7.405,27.78252532072924,1723.0096907213997,6,1.141114743197572,147.23099753521103,70.17838495160788,140.99893065456908,62.295512815056185,140.98787248437867,62.22464695997304,140.94968104052046,62.09842783956534,141.012932623198,8,125,746,639,6013,5171,691,6191,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NCS53,OUT049,0,160.3604,2852.2872,0.089917769,14.5,11.059337931034484,1783.4116858482107,14,1.3358309939675874,133.10807878787855,59.7998249394365,141.1631992258065,62.144593618535815,140.93947999999986,61.99716309565804,141.05877512352268,62.06244154608586,141.012932623198,9,95,563,282,6013,3010,858,1550,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NCP50,OUT046,0,78.7618,1288.9888,0.020559846,17.35,4.539585014409221,3830.855542400464,16,1.148670729340851,133.7450471428572,60.73397201209741,140.8219816774196,62.106844175796304,140.93947999999986,61.99716309565804,140.94968104052046,62.09842783956534,141.012932623198,9,30,180,160,6013,5171,280,6191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCU42,OUT045,0,168.1474,4211.185,0.019546214,9.0,18.683044444444445,8602.55597324372,11,1.21390750412518,148.7365007751935,62.54545185638939,140.85734056847554,62.26267620014392,140.98787248437867,62.22464695997304,140.94968104052046,62.09842783956534,141.012932623198,8,170,1013,874,6013,5171,1548,6191,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FDC22,OUT018,1,192.682,2703.148,0.136984147,6.89,27.96545718432512,1406.6007214688866,4,1.3910827118151967,146.4603094017093,59.55443369546232,141.0008994825354,62.02285130857686,141.06588758731854,62.04734275143888,141.05877512352268,62.06244154608586,141.0008994825354,10,219,219,658,547,1645,848,1546,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FDU55,OUT045,0,260.6278,4425.5726,0.0359841039999999,16.2,16.088135802469136,7242.859235844806,11,0.9295736349838832,144.30423666169895,59.22192266193132,140.85734056847554,62.26267620014392,140.98787248437867,62.22464695997304,140.94968104052046,62.09842783956534,141.012932623198,8,218,1311,1135,6013,5171,1086,6191,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FDS13,OUT010,0,265.2884,264.9884,0.208397715,6.465,41.03455529775716,1272.9909250684443,15,1.4298407059684732,138.62093597785957,60.16233501731816,141.15974248648652,62.010834728877015,141.06588758731854,62.04734275143888,140.94968104052046,62.09842783956534,140.96114227146813,10,66,132,608,1165,5171,549,1805,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FDX31,OUT027,1,231.7958,5375.0034,0.014753811,20.35,11.390457002457005,15710.910218383577,28,1.0587728746053109,144.30423666169895,59.22192266193132,141.0123468890318,62.05966042117144,141.06588758731854,62.04734275143888,141.05877512352268,62.06244154608586,141.0123468890318,10,220,220,658,551,1645,927,1559,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FDQ55,OUT035,1,114.7834,3455.502,0.0130356089999999,13.65,8.409040293040293,8805.373036273182,9,1.1301074538037763,144.30423666169895,59.22192266193132,141.1072277419356,62.15595001828972,140.98787248437867,62.22464695997304,140.94968104052046,62.09842783956534,141.012932623198,8,219,1311,1135,3281,2825,927,6191,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FDV08,OUT027,0,43.5454,755.0172,0.028456456,7.35,5.924544217687075,1530.24677422937,28,1.5070206073943098,144.30423666169895,59.22192266193132,141.0123468890318,62.05966042117144,141.06588758731854,62.04734275143888,141.05877512352268,62.06244154608586,141.0123468890318,9,220,220,658,1008,3010,1086,1559,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FDA19,OUT019,0,126.6994,256.9988,0.0531626074444444,7.519999999999998,16.84832446808511,2383.2427732669503,28,1.0906165432655202,144.30423666169895,59.22192266193132,140.75238636363633,61.611736135955766,140.93947999999986,61.99716309565804,140.94968104052046,62.09842783956534,140.96114227146813,9,126,263,1135,1165,5171,1086,1805,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FDE23,OUT035,1,45.606,1724.422,0.053170949,17.6,2.59125,857.7240176773975,9,0.9377869931090153,149.75191747211886,66.71695909028087,141.1072277419356,62.15595001828972,140.98787248437867,62.22464695997304,140.94968104052046,62.09842783956534,141.012932623198,9,30,180,149,3281,2825,112,6191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FDD28,OUT049,0,56.7904,1113.2176,0.05337973,10.695,5.3099953249181855,1063.8944782972862,14,1.243092023052912,136.46738513323996,66.59733901075771,141.1631992258065,62.144593618535815,140.93947999999986,61.99716309565804,141.05877512352268,62.06244154608586,141.012932623198,9,155,928,464,6013,3010,731,1550,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FDT60,OUT017,0,124.1388,1486.0656,0.075975642,12.0,10.3449,1633.928937382326,6,1.152822622956369,127.45823720073652,57.30083627764299,140.99893065456908,62.295512815056185,140.98787248437867,62.22464695997304,140.94968104052046,62.09842783956534,141.012932623198,10,117,709,610,6013,5171,542,6191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCJ43,OUT017,0,174.0396,2093.2752,0.027222517,6.635,26.23053504144688,6393.222199108187,6,1.3248689662671411,148.7365007751935,62.54545185638939,140.99893065456908,62.295512815056185,140.98787248437867,62.22464695997304,140.94968104052046,62.09842783956534,141.012932623198,9,169,1013,874,6013,5171,1548,6191,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DRE37,OUT018,0,187.0872,3214.4824,0.094603404,13.5,13.85831111111111,1977.5948019798525,4,1.1244751862288704,135.4037258953167,60.552402888534985,141.0008994825354,62.02285130857686,141.06588758731854,62.04734275143888,141.05877512352268,62.06244154608586,141.0008994825354,9,80,80,239,999,3010,617,1546,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NCC30,OUT035,0,176.6344,2676.516,0.027573983,16.6,10.640626506024097,6405.8355298180895,9,1.0380269746013324,148.7365007751935,62.54545185638939,141.1072277419356,62.15595001828972,140.98787248437867,62.22464695997304,140.94968104052046,62.09842783956534,141.012932623198,9,169,1013,874,6013,5171,1548,6191,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FDO46,OUT035,1,188.1872,1701.7848,0.014209811,9.6,19.602833333333333,13243.469599982714,9,1.565602475442318,146.4603094017093,59.55443369546232,141.1072277419356,62.15595001828972,140.98787248437867,62.22464695997304,140.94968104052046,62.09842783956534,141.012932623198,9,219,1311,1111,3281,2825,848,6191,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NCS53,OUT019,0,156.8604,316.9208,0.157190017,14.5,10.817958620689655,997.9030665796035,28,1.3358309939675874,133.10807878787855,59.7998249394365,140.75238636363633,61.611736135955766,140.93947999999986,61.99716309565804,140.94968104052046,62.09842783956534,140.96114227146813,9,53,108,482,1165,5171,858,1805,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DRL01,OUT017,1,233.4958,5375.0034,0.077608838,19.5,11.97414358974359,3008.623837403673,6,1.0397114984456062,135.4037258953167,60.552402888534985,140.99893065456908,62.295512815056185,140.98787248437867,62.22464695997304,140.94968104052046,62.09842783956534,141.012932623198,10,80,477,407,3281,2825,109,6191,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FDC10,OUT035,1,118.6098,843.5686,0.072863893,9.8,12.10304081632653,1627.8268304988867,9,1.0101705026600432,146.4603094017093,59.55443369546232,141.1072277419356,62.15595001828972,140.98787248437867,62.22464695997304,140.94968104052046,62.09842783956534,141.012932623198,10,219,1311,1111,3281,2825,848,6191,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FDW27,OUT027,1,154.5314,1396.1826,0.150122794,5.86,26.37054607508532,1029.3666663304973,28,0.9604686356149216,140.2911413043476,59.00377937174064,141.0123468890318,62.05966042117144,141.06588758731854,62.04734275143888,141.05877512352268,62.06244154608586,141.0123468890318,9,80,80,236,551,1645,454,1559,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FDO11,OUT027,1,248.8092,3486.1288,0.0301183379999999,8.0,31.10115,8261.053448566785,28,1.2517099415510708,141.38984903846156,63.190637461084506,141.0123468890318,62.05966042117144,141.06588758731854,62.04734275143888,141.05877512352268,62.06244154608586,141.0123468890318,10,45,45,135,551,1645,194,1559,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FDC48,OUT035,0,81.6592,1403.5064,0.015856295,9.195,8.880826536160956,5149.954639466534,9,1.4900596557781738,127.45823720073652,57.30083627764299,141.1072277419356,62.15595001828972,140.98787248437867,62.22464695997304,140.94968104052046,62.09842783956534,141.012932623198,9,118,709,610,6013,5171,542,6191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCO18,OUT046,0,179.5686,1422.1488,0.024651269,13.15,13.655406844106464,7284.355219197843,16,0.9335713982098816,148.7365007751935,62.54545185638939,140.8219816774196,62.106844175796304,140.93947999999986,61.99716309565804,140.94968104052046,62.09842783956534,141.012932623198,10,169,1013,874,6013,5171,1548,6191,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FDQ47,OUT017,1,35.2874,388.1614,0.169137707,7.155,4.931851851851851,208.6311835834454,6,1.151617220356757,141.38984903846156,63.190637461084506,140.99893065456908,62.295512815056185,140.98787248437867,62.22464695997304,140.94968104052046,62.09842783956534,141.012932623198,10,44,268,236,3281,2825,194,6191,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NCJ06,OUT019,0,119.8782,238.3564,0.060672263,20.1,5.964089552238807,1975.832020638492,28,0.7660142151277457,148.7365007751935,62.54545185638939,140.75238636363633,61.611736135955766,140.93947999999986,61.99716309565804,140.94968104052046,62.09842783956534,140.96114227146813,10,93,197,874,1165,5171,1548,1805,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FDV24,OUT049,0,148.705,1198.44,0.0881243303333333,5.635,26.389529724933453,1687.4454471031804,14,1.2888409952787514,127.45823720073652,57.30083627764299,141.1631992258065,62.144593618535815,140.93947999999986,61.99716309565804,141.05877512352268,62.06244154608586,141.012932623198,9,119,709,357,6013,3010,542,1550,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRL37,OUT018,0,44.177,173.108,0.053589594,15.5,2.850129032258065,824.3578034944619,4,1.243092023052912,135.4037258953167,60.552402888534985,141.0008994825354,62.02285130857686,141.06588758731854,62.04734275143888,141.05877512352268,62.06244154608586,141.0008994825354,9,80,80,239,999,3010,617,1546,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FDI45,OUT013,0,176.1054,4027.4242,0.037549969,13.1,13.443160305343511,4689.894684067515,26,1.2922847983320116,144.30423666169895,59.22192266193132,141.12842833226,62.14084848045319,141.06588758731854,62.04734275143888,141.12842833226,62.14084848045319,141.012932623198,9,220,1311,220,6013,1004,1086,1553,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FDU52,OUT019,0,157.063,312.926,0.111654545,7.56,20.7755291005291,1406.6870273843308,28,1.3160969231447666,136.46738513323996,66.59733901075771,140.75238636363633,61.611736135955766,140.93947999999986,61.99716309565804,140.94968104052046,62.09842783956534,140.96114227146813,10,96,189,807,1165,5171,731,1805,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FDG24,OUT018,0,84.725,1747.725,0.01469075,7.975,10.623824451410655,5767.234484284328,4,1.4662269362453502,127.45823720073652,57.30083627764299,141.0008994825354,62.02285130857686,141.06588758731854,62.04734275143888,141.05877512352268,62.06244154608586,141.0008994825354,8,119,119,357,999,3010,542,1546,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FDP27,OUT010,0,188.453,379.506,0.199935881,8.155,23.108890251379524,942.5671823258176,15,1.3515423288475532,140.2911413043476,59.00377937174064,141.15974248648652,62.010834728877015,141.06588758731854,62.04734275143888,140.94968104052046,62.09842783956534,140.96114227146813,10,52,101,420,1165,5171,282,1805,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NCX05,OUT018,0,114.4492,579.246,0.097457483,15.2,7.529552631578948,1174.3500496519082,4,1.0997474457549063,133.10807878787855,59.7998249394365,141.0008994825354,62.02285130857686,141.06588758731854,62.04734275143888,141.05877512352268,62.06244154608586,141.0008994825354,10,92,92,282,999,3010,858,1546,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DRF60,OUT017,0,236.5564,5243.8408,0.052363244,10.8,21.903370370370368,4517.60398954656,6,1.6509196571262088,135.4037258953167,60.552402888534985,140.99893065456908,62.295512815056185,140.98787248437867,62.22464695997304,140.94968104052046,62.09842783956534,141.012932623198,8,80,477,407,6013,5171,617,6191,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FDH56,OUT013,1,113.8492,1737.7379999999998,0.063764099,9.8,11.617265306122448,1785.4749268863657,26,1.4006347767272442,144.30423666169895,59.22192266193132,141.12842833226,62.14084848045319,141.06588758731854,62.04734275143888,141.12842833226,62.14084848045319,141.012932623198,10,220,1311,220,3281,549,927,1553,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FDO15,OUT018,1,73.7038,1404.1722,0.008601441,16.75,4.400226865671642,8568.773534574033,4,1.2536169891779343,140.2911413043476,59.00377937174064,141.0008994825354,62.02285130857686,141.06588758731854,62.04734275143888,141.05877512352268,62.06244154608586,141.0008994825354,10,78,78,236,547,1645,454,1546,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FDQ07,OUT027,1,219.8456,1547.3192,0.086983591,15.099999999999998,14.559311258278148,2527.437617515699,28,1.3220354676701285,144.30423666169895,59.22192266193132,141.0123468890318,62.05966042117144,141.06588758731854,62.04734275143888,141.05877512352268,62.06244154608586,141.0123468890318,9,220,220,658,551,1645,927,1559,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FDR25,OUT027,1,263.7884,1324.942,0.138846289,17.0,15.516964705882357,1899.8592032949475,28,1.0515294982615866,138.62093597785957,60.16233501731816,141.0123468890318,62.05966042117144,141.06588758731854,62.04734275143888,141.05877512352268,62.06244154608586,141.0123468890318,8,120,120,358,551,1645,535,1559,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DRF01,OUT013,0,145.0102,1895.5326,0.174934513,5.655,25.64282935455349,828.9399130747857,26,1.195593762297397,135.4037258953167,60.552402888534985,141.12842833226,62.14084848045319,141.06588758731854,62.04734275143888,141.12842833226,62.14084848045319,141.012932623198,10,80,477,80,6013,1004,617,1553,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FDO10,OUT046,1,55.5588,1603.2464,0.0127517,13.65,4.070241758241758,4356.972011574927,16,1.309113355587582,146.4603094017093,59.55443369546232,140.8219816774196,62.106844175796304,140.93947999999986,61.99716309565804,140.94968104052046,62.09842783956534,141.012932623198,10,216,1311,1111,3281,2825,848,6191,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FDU25,OUT046,0,56.4246,810.9444,0.026681262,12.35,4.568793522267207,2114.765036226547,16,1.28723124795597,138.62093597785957,60.16233501731816,140.8219816774196,62.106844175796304,140.93947999999986,61.99716309565804,140.94968104052046,62.09842783956534,141.012932623198,8,120,713,608,6013,5171,549,6191,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FDE10,OUT010,1,130.0626,131.1626,0.150554711,6.67,19.499640179910045,863.889274112452,15,1.2570909982088694,146.4603094017093,59.55443369546232,141.15974248648652,62.010834728877015,141.06588758731854,62.04734275143888,140.94968104052046,62.09842783956534,140.96114227146813,9,123,239,1111,640,2825,848,1805,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FDM10,OUT013,0,213.4218,3846.9924,0.075908374,18.25,11.694345205479452,2811.5712240127814,26,0.8524474568362984,146.4603094017093,59.55443369546232,141.12842833226,62.14084848045319,141.06588758731854,62.04734275143888,141.12842833226,62.14084848045319,141.012932623198,7,220,1311,220,6013,1004,1141,1553,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NCB30,OUT019,0,196.5084,198.4084,0.045002624,14.599999999999998,13.459479452054795,4366.598712110654,28,1.2951833846988623,148.7365007751935,62.54545185638939,140.75238636363633,61.611736135955766,140.93947999999986,61.99716309565804,140.94968104052046,62.09842783956534,140.96114227146813,9,93,197,874,1165,5171,1548,1805,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FDI09,OUT018,1,240.188,5992.2,0.129864461,20.75,11.57532530120482,1849.5283324665709,4,0.7814821083775854,141.28875056179768,60.20032889869596,141.0008994825354,62.02285130857686,141.06588758731854,62.04734275143888,141.05877512352268,62.06244154608586,141.0008994825354,8,10,10,30,547,1645,36,1546,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FDN44,OUT027,0,161.592,4314.384,0.022685222,13.150000000000002,12.288365019011406,7123.22762369264,28,1.3351698661326137,144.30423666169895,59.22192266193132,141.0123468890318,62.05966042117144,141.06588758731854,62.04734275143888,141.05877512352268,62.06244154608586,141.0123468890318,8,220,220,658,1008,3010,1086,1559,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NCF18,OUT010,0,191.9504,767.0016,0.148938624,18.35,10.46051226158038,1288.7885952269844,15,0.971825315807541,148.7365007751935,62.54545185638939,141.15974248648652,62.010834728877015,141.06588758731854,62.04734275143888,140.94968104052046,62.09842783956534,140.96114227146813,10,104,197,874,1165,5171,1548,1805,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NCM07,OUT046,0,84.0908,419.454,0.039961837,9.395,8.950590739755189,2104.2776386881314,16,1.0814085465005543,133.7450471428572,60.73397201209741,140.8219816774196,62.106844175796304,140.93947999999986,61.99716309565804,140.94968104052046,62.09842783956534,141.012932623198,9,30,180,160,6013,5171,280,6191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FDA32,OUT018,0,216.6192,3020.0688,0.0302167829999999,14.0,15.4728,7168.837265039102,4,0.9577751997902874,144.30423666169895,59.22192266193132,141.0008994825354,62.02285130857686,141.06588758731854,62.04734275143888,141.05877512352268,62.06244154608586,141.0008994825354,10,219,219,658,999,3010,1086,1546,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FDH35,OUT045,0,164.7526,4604.6728,0.0581012104444444,18.25,9.027539726027396,2835.6139009794656,11,1.297112177107281,149.75191747211886,66.71695909028087,140.85734056847554,62.26267620014392,140.98787248437867,62.22464695997304,140.94968104052046,62.09842783956534,141.012932623198,9,30,180,149,6013,5171,157,6191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
